,datetime,open,close,high,low,volume
0,2020-10-26 13:30:00-05:00,1.23,1.23,1.23,1.23,0
1,2020-10-26 13:35:00-05:00,1.23,1.17,1.23,1.06,0
2,2020-10-26 13:40:00-05:00,1.17,1.14,1.18,1.13,0
3,2020-10-26 13:45:00-05:00,1.15,1.12,1.15,0.96,0
4,2020-10-26 13:50:00-05:00,1.12,1.12,1.12,1.11,0
5,2020-10-26 13:55:00-05:00,1.12,1.11,1.12,1.11,0
6,2020-10-26 14:00:00-05:00,1.11,1.11,1.11,1.11,0
7,2020-10-26 14:05:00-05:00,1.11,1.11,1.11,1.11,0
8,2020-10-26 14:10:00-05:00,1.11,1.12,1.14,1.11,0
9,2020-10-26 14:15:00-05:00,1.12,1.05,1.12,0.88,0
10,2020-10-26 14:20:00-05:00,1.06,1.07,1.07,1.05,0
11,2020-10-26 14:25:00-05:00,1.08,1.08,1.08,1.08,0
12,2020-10-26 14:30:00-05:00,1.08,1.03,1.08,0.91,0
13,2020-10-26 14:35:00-05:00,1.03,1.03,1.03,1.03,0
14,2020-10-26 14:40:00-05:00,1.03,1.03,1.03,1.03,0
15,2020-10-26 14:45:00-05:00,1.03,1.02,1.03,1.02,0
16,2020-10-26 14:50:00-05:00,1.02,1.02,1.02,1.02,0
17,2020-10-26 14:55:00-05:00,1.03,1.03,1.15,1.03,0
18,2020-10-26 15:00:00-05:00,1.03,1.02,1.03,1.02,0
19,2020-10-26 15:05:00-05:00,1.02,0.98,1.04,0.73,0
20,2020-10-26 15:10:00-05:00,0.99,1.0,1.01,0.99,0
21,2020-10-26 15:15:00-05:00,1.0,0.99,1.0,0.99,0
22,2020-10-26 15:20:00-05:00,0.99,0.98,0.99,0.86,0
23,2020-10-26 15:25:00-05:00,0.98,0.94,1.88,0.8,0
24,2020-10-26 15:30:00-05:00,0.94,0.97,0.97,0.68,0
25,2020-10-26 15:35:00-05:00,0.97,1.0,1.11,0.91,0
26,2020-10-26 15:40:00-05:00,1.0,0.99,1.12,0.88,0
27,2020-10-26 15:45:00-05:00,0.99,1.01,1.24,0.99,0
28,2020-10-26 15:50:00-05:00,1.0,1.0,1.01,0.87,0
29,2020-10-26 15:55:00-05:00,0.88,1.0,1.02,0.88,0
30,2020-10-26 16:00:00-05:00,1.0,1.01,1.51,0.88,0
31,2020-10-26 16:05:00-05:00,1.02,1.1,1.11,0.99,0
32,2020-10-26 16:10:00-05:00,1.07,1.03,1.07,1.03,0
33,2020-10-26 16:15:00-05:00,1.04,1.08,1.1,1.04,0
34,2020-10-26 16:20:00-05:00,1.08,1.07,1.08,1.07,0
